format version:	1.3														
date:	2/24/2013														
															
Calcareous Nannofossils w/images	:	Tropical and Mid-latitude Calcareous Nannofossils w/img	Boreal Nannofossils w/img		"NEW CENOZOIC (low and middle latitudes) = Backman-Agnini et al. (2012; 2014) -- Low and middle latitudes.  Neogene-Olig = direct astronomical age; Eocene-Paleocene = proportions within C19r-C29r  NEOGENE = mainly Lourens et al. (GTS2004 tables); PALEOGENE = Composite of ODP studies, plus Berggren et al. (1995a, b) -- reviewed and enhanced by Paul Bown, June 2011.  Late CRETACEOUS = mainly Late Cret. working group (London, June2011), which modified Burnett (1999) and Erba et al (1995) as tabulated by ODP Leg 171B Init. Repts. (Table 2, p. 17-18).  Middle and Early CRETACEOUS = compiled by Jim Bergen, based on publications by Tim Bralower et al (1995),  J. Bergen (1994) and Eric de Kaenel. Tethyan Early-Middle Jur zones from Mattioli and Erba (1999);  Late Jur zones from Casellato, 2011. See NannoTax links for individual taxa images, etc."										
															
Tropical and Mid-latitude Calcareous Nannofossils w/img	:	"NN,NP,CC,NJT,NT Zone w/img"	"NN,NP,CC Subzone w/img"	"CN,CP,NC Zone w/img"	"CN,CP,NC Subzone w/img"	Ceno-Nanno Zone w/img	UC Zone (Lt. Cret.) w/img	UC Subzone w/img	Tethyan Nanno Zone Marker w/img	UC Tethyan Subzone Marker (if not NC-CC) w/img	Other Tethyan Nanno FAD/LAD w/img	Additional Plio-Pleist datums w/img	_TITLE_OFF		"NEOGENE = mainly Lourens et al. (GTS2004 tables); PALEOGENE = Composite of ODP studies, plus Berggren et al. (1995a, b) -- reviewed and enhanced by Paul Bown, June 2011.  Late CRETACEOUS = mainly Late Cret. working group (London, June2011), which modified Burnett (1999) and Erba et al (1995) as tabulated by ODP Leg 171B Init. Repts. (Table 2, p. 17-18).  Middle and Early CRETACEOUS = compiled by Jim Bergen, based on publications by Tim Bralower et al (1995),  J. Bergen (1994) and Eric de Kaenel. Tethyan Early-Middle Jur zones from Mattioli and Erba (1999);  Late Jur zones from Casellato, 2011. See NannoTax links for individual taxa images, etc."
															
Boreal Nannofossils w/img	:	"Boreal UC,BC,NJ,NT Nanno Zone w/img"	Boreal UC-BC Nanno Subzone w/img	Boreal NK Nanno zones w/img	Boreal KN Nanno zones w/img	Boreal Nanno Zone Marker w/img	Boreal Nanno subzonal and other markers w/img	_TITLE_OFF	_METACOLUMN_OFF		"NEOGENE = mainly Lourens et al. (GTS2004 tables); PALEOGENE = Composite of ODP studies, plus Berggren et al. (1995a, b) -- reviewed and enhanced by Paul Bown, June 2011. Late CRETACEOUS = mainly Burnett (1998); Early CRETACEOUS = mainly Bown et al. (1998); JURASSIC = Bown and Cooper (1998); TRIASSIC = Bown (1998)."				
															
"NN,NP,CC,NJT,NT Zone w/img"	block	40	210/217/221	notitle		"Martini (NN,NP) Zone;  Ages for NEOGENE = mainly Lourens et al. (GTS2004 tables); PALEOGENE = Composite of ODP studies, plus Berggren et al. (1995a, b) -- reviewed and enhanced by Paul Bown, June 2011.  Late CRETACEOUS = mainly Late Cret. working group (London, June2011), which modified Burnett (1999) and Erba et al (1995) as tabulated by ODP Leg 171B Init. Repts. (Table 2, p. 17-18).  Middle and Early CRETACEOUS = compiled by Jim Bergen, based on publications by Tim Bralower et al (1995),  J. Bergen (1994) and Eric de Kaenel"									
	TOP	0													
	NN21	0.29		"Pleistocene Nanno Zone NN21 may possibly be subdivided further:  Acme of E. huxleyi; LAD Pontosphaera indooceanica; and dominance reversal of G. caribbeanica / E. huxleyi.  The latter event occurs earlier in tropical-subtropical waters (¦O18 stage 5b&5a) than in transitional (¦O18 stage 4) (Thierstein et al., 1977).  The FAD of Gephyrocapsa ericsonii and G. muellerae approximates the base of NN21.  [From summary in Perch-Nielsen, 1985; Plankton Stratigraphy]"											
	NN20	0.43		"LAD defines top of NN19, therefore at base of NN20.  Astronomically tuned in Pacific (ODP Legs 111 & 138) and Atlantic (Leg 154, Sites 925 & 926; Backman et al., 2012).  Age is recorded slightly older (0.47 myr) in Mediterranean.  Berggren et al. (1995b) placed similaly = O-18 stage 12; Chron C1n.4. [Lourens et al. (2004; Table A2.2)]"											
	NN19	1.93		"Pleistocene Nanno Zone NN19 can be subdivided by: FAD of G. caribbeanica; LAD of C. macintyrei and of H. sellii, and FAD of G. oceanica (see CN13 subzonation)"											
	NN18	2.39		"LAD of D. pentaradiatus (quintatus) defines top of NN17, therefore at base of NN18.  Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926), which Lourens et al. (2004) and Backman et al. (2012) place as 2.39 Ma.  This LAD is recorded earlier (2.51 Ma) in Mediterranean.  Berggren et al. (1995b) places near Matuyama/Gauss boundary, or at about Chron C2r.3r.25.  [Lourens et al. (2004; Table A2.2)]"											
	NN17	2.53		"LAD of D. surculus defines top of NN16, therefore at base of NN17.  Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926), which Backman et al. (2012) place as 2.53 Ma.  This LAD is recorded slightly earlier (2.52 Ma and 2.54 Ma) in Pacific ODP Legs 111 and 138 and in eastern Mediterranean, respectively.  Berggren et al. (1995b) place near Matuyama/Gauss boundary at about Chron C2r.3r.1.  [Lourens et al. (2004; Table A2.2)]"											
	NN16	3.82		"This LAD defines top of NN15 (and CNPL3), therefore at base of NN16/CNPL4.  Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926); which Backman et al. (2012) place as 3.82 Ma (used here).  This LAD is recorded slightly earlier (3.79 Ma and 3.84 Ma) in Pacific (ODP Legs 111 and 138) and in eastern Mediterranean, respectively.  Acccording to Berggren et al. (1995b), Pliocene nannofossil Reticulofenestra pseudoumbilicus (LAD) occurs in Mediterranean at about Chron C2Ar.7 (uppermost part of upper-reversed interval of Gilbert). [Lourens et al. (2004; Table A2.2)]"											
	NN15	3.93		"Formerly ""Discoaster"" tricornicultus.  Mid-way between D. asymmetricus FAD & R. pseudoumbilicus LAD in the schematic chart of Berggren et al. (1995b).  Not assigned an age in Lourens et al. (2004; Table A2.2)."											
	NN14	4.04		"Pliocene Nanno Zones NN13 and NN14 are often merged to NN13/NN14, because D. asymmetricus marker is often rare or difficult to identify (Martini, 1980)."											
	NN13	5.08		"Astronomically tuned in Pacific (ODP Legs 111 and 138). This FAD is reported later (5.08 Ma) in Atlantic Leg 154, Sites 925 & 926 (age from Backman et al., 2012).  In Berggren et al. (1995b), this datum is diachronous among regions -- Pliocene nannofossil Cerotolithus rugosus (FAD) occurs near top of Nunivak (4.5 Ma) in Mediterranean, but within Thvera (about Chron C3n.4n.5); 5.0-5.23 Ma in oceanic areas. [Lourens et al. (2004; Table A2.2)]"											
	NN12	5.53		"Astronomically tuned in Pacific (ODP Legs 111 and 138); and reported at same time in Atlantic Leg 154, Sites 925 & 926   [Lourens et al. (2004; Table A2.2)], and Backman et al. (2012) put as 5.53 Ma.  Berggren. Kent, et al. (1995) assign as middle of Chron C3r (Gilbert)."											
	alt NN11a	8.11		From Leg 145 compilation indicates either in Chron C4 or the base of Chron C4n.2n (for older FAD estimate; used here). [ODP Leg 145 Shipboard Scientific Party (1993); not in Aubry's synthesis in Berggren et al. (1995)]											
	NN11	8.2		"Miocene Nannofossil Zone NN11 begins with either the FAD of D. berggreni (an earlier event) or of D. quinqueramus; the definition problem arises depending if these two taxa are considered to be the same species.  Bukry (1981) defined Zone CN8b beginning with FAD of D. neorectus and/or FAD of D. loeblichii, and ending with FAD of D. surculus; but these events are not calibrated in the scales of Berggren (in prep, SEPM) or Leg 145.  Aubry (in Berggren et al., 1995) indicates that FAD of D. berggrenii defines base of both NN11 and CN9; and this placement is shown in this chart."											
	NN10	9.65		"Astronomically tuned in eastern Mediterranean.  LAD occurs slightly earlier (9.69 Ma) at Atlantic Leg 154, Sites 925 & 926, which Backman et al. (2012) put as 9.65 Ma (used here).  Astronomical age implies approximately Chron C4Ar.2r.5. [Lourens et al. (2004; Table A2.2)]  Correlations, as indicated by Berggren et al. (1995) were inconsistent; with younger LADs being reported elsewhere in previous literature -- C4Ar.2r.5; 9.4 Ma; or C4A; 8.67 Ma or 9.37 Ma; therefore C4Ar.2r.5 seems best estimate (nearly same as astronomical tuning)."											
	NN9	10.49	dashed	"DASHED -- Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926) as 10.55 Ma (Lourens et al., 2004), revised as 10.49 by Backman et al. (2012).  FAD occurs much younger (10.18 Ma) in eastern Mediterranean.   [Lourens et al. (2004; Table A2.2)]  Berggren et al. (1995a) note that this datum is ""controversial"" and inconsistent, with different reported correlations to magnetostratigraphy.  More checks on this calibration are needed."											
	NN8	10.79		"Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926); and assigned by Backman et al. (2012) as 10.79 Ma.  FAD occurs slightly later (10.73 Ma) in eastern Mediterranean.  [Lourens et al. (2004; Table A2.2)]  Very poorly constrained age, and Atlantic may be 0.4 m.y. before Pacific -- Berggren et al. (1995) give C5r.2r (Atl.); 11.3 Ma or 11.1 Ma; therefore an older placement (by 0.4 myr) of C5r.2r.5 was used on previous versions of this chart."											
	NN7	11.88		"Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926); and simultaneous (11.90 Ma) in eastern Mediterranean [Lourens et al. (2004; Table A2.2)] and Backman et al. (2012).  This ""FCO"" of Lourens et al. (2004) seems to correspond in calibration to the ""FAD"" of Berggren et al. (1995a), which they summarized as approximately lower Chron C5r.3r."											
	NN6	13.53		"Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926); but LAD is reported slightly earlier (13.654 Ma) in eastern Mediterranean.  The offset, although only 100 kyr, causes a problem, because this nannofossil S. heteromorphus LAD had been a candidate for the ""primary marker"" for base-Serravallian GSSP as placed in the in the Mediterranean region.  Berggren et al. (1995a) had a similar chron-age assignment of approximately Chron C5ABr.6. [Lourens et al. (2004; Table A2.2)]"											
	NN5	14.86		"Astronomically tuned in Atlantic (Leg 154, Sites 925 & 926). [Lourens et al. (2004; Table A2.2), as 14.91 Ma]; revised by Backman et al. (2012) as 14.86 Ma (used here).   Berggren et al. (1995a) had placed this LAD about 0.6 myr older as middle of Chron C5Br."											
	NN4	17.94		"Lourens et al (2004) assign this event as a LCO that is astronomically tuned in Atlantic (Leg 154, Sites 925 & 926). [Lourens et al. (2004; Table A2.2)]; but Backman et al. (2012) refer to this same calibration as a Top (and used 17.94 instead of 17.95 of Lourens et al.).   The interpretation of this level as a last-common (LCO) is only slightly below the LAD, which was the original definition of the zone (a 0.1 myr difference according to J. Bergen, pers. commun., 2005)."											
	NN3	19.18		"Berggren et al (1995) had shown FAD of S. belemnos as defining base of CN2.  But Lourens et al (2004) assign base-CN2 as equivalent to base NN3.  Actually, Young et al'98 consider S. belemnos to be the better marker."											
	NN2	22.82	dashed	"DASHED - Diachronous.  Base Discoaster druggi (sensu stricto) -- Astronomically tuned in eastern Mediterranean (based on projecting astronomical tuning of long-period minima to base-Miocene), which is consistent with ODP Leg 154.  [Lourens et al. (2004; Table A2.2)] (used here).  However, smaller forms appear earlier, at end of Oligocene (J. Bergen and E. de Kaenel, pers. commun., 2005).  Backman et al. (2012) conclude that its FAD is ""occurring a few thousand years earlier in the tropical Indian Ocean"" compared to its ca. 22.59Ma rare occurrence in Pacific.  FAD has been assigned to C6Cn in Leg 145 compilation, but Aubry (in Berggren et al., 1995) assigns 0.5 m.y. higher (in C6Br); so earlier chart had used C6Br.5."											
	NN1	23.13		"The LAD of 'R. bisectus' was used to approximate the NP25/NN1 boundary in high latitudes, but proved useful for global; and was ""substituted for H. recta, the marker of the NP15/NN1 boundary in Martini's (1971) zonal scheme"" by Aubry (in Berggren et al., 1995)."											
	NP25	26.81		"Oligocene Nanno 'Sphenolithus distentus' LAD  is cycle-calibrated as 26.81 Ma (3.78 myr prior to 23.03 Ma for base-Miocene) by Blaj et al. (2009) (Eq. Pac.).  This is younger than chron-age of C9n by Aubry (in Berggren, Kent, et al., 1995) at 27.5 Ma, but is consistent with mid-Chron C8n.2n correlation in Leg 145 table.  The LCO was placed in Chron 9n in basal-Chattian compilation of Italian sections by Coccioni et al. (GSA Bull, 2008)."											
