MAP-VERSION	1						
							
HEADER-MAP	TOP AGE	BASE AGE	VERTICAL SCALE				
DEFAULT AGES	2	15	1				
							
HEADER-MAP INFO	MAP NAME	IMAGE	NOTE				
MAP INFO	Main TSC selections	TSC_Lite_image.png	Schematic listing of selected main strat column				
							
HEADER-PARENT MAP	PARENT NAME	COORDINATE TYPE	UPPER LEFT LON	UPPER LEFT LAT	LOWER RIGHT LON	LOWER RIGHT LAT	
PARENT MAP	World Map	RECTANGULAR	170	10	190	10	
COMMENT	NZ on PARENT MAP	World Map	RECTANGULAR	171.5712	-37.4913	175.4356	-41.789
							
HEADER-COORD	COORDINATE TYPE	UPPER LEFT LON	UPPER LEFT LAT	LOWER RIGHT LON	LOWER RIGHT LAT		
COORD	RECTANGULAR	0	0	10	10		
COMMENT	Long = X; Lat = Y.  Base image is 10 inches tall (Lat) and 10 inches wide (Long)						
							
COMMENT	DataColumns or sub-directories that have a default-on when activated						
HEADER-DATACOL	NAME	LON	LAT	DEFAULT ON/OFF	MIN-AGE	MAX-AGE	NOTE
DATACOL	Eon	1	0.5		0	4700	
DATACOL	Era	1	1		0	4700	
DATACOL	Period	1	1.5	on	0	2800	
DATACOL	Sub-Period	1.5	2		298	360	
DATACOL	Epoch	1.5	2.5	on	0	545	
DATACOL	Age/Stage	1.5	3	on	0	545	
DATACOL	GSSPs	1.5	3.5		0	650	"GSSPs (Global boundary stratotype sections) define bases of international geologic stages.  International Commission on Stratigraphy <a href=""http://www.stratigraphy.org/"">ICS</a>.  Click  <a href=""http://stratigraphy.science.purdue.edu/"">Geol. TimeScale Foundation GSSP</a>  for boundary (GSSP) definitions, status and nomenclature."
DATACOL	Ammonoids	3	1		65	410	"Tethyan ammonite zone for Mesozoic; then generalized Paleozoic ammonoids (CRETACEOUS = Thierry et al. (in Hardenbol et al., SEPM charts, 1998), with GTS2004 and Kilian Group (2004-2011) revisions; JURASSIC = Groupe Francais d'etude du Jurassique (1997); TRIASSIC = Mietto and Manfrin (in Hardenbol et al., SEPM charts, 1998), with GTS2004 and Kozur (2003 and pers. commun., 2006, 2010) and Marco Balini (2010) revisions; Permian = Low-Latitude suite from Kozur (2003), but see Permian suite (under Paleozoic ammonoids) by Henderson (2012). PERMIAN = Davydov et al., 2004, and Henderson, 2005, 2012); CARBONIFEROUS = GTS2004 and GTS2012 diagrams (Davydov et al., 2004, 2012), DEVONIAN = Becker and House (2000) and Becker (GTS2012))"
DATACOL	Conodont zonation (selected)	5	1		199	500	"Conodonts:  This is a small sampling of the extensive regional conodont zonations in TSCreator.  TRIASSIC = Tethyan zones of Kozur'03 with Early Triassic modified after Orchard'07; PERMIAN-CARBONIFEROUS = GTS2012 diagrams of Henderson and of Davydov (zones used for Spline-fit of this age scale); DEVONIAN = Becker (GTS2012) suite used for spline-fit age model; SILURIAN = ""Standard"" of Mike Melchin in GTS2012; ORDOVICIAN = North Atlantic conodont zones (Figure 2.2 in Webby et al. (2004; The Great Ordovician Biodiversification Event); with ages (and some zones) modified by Roger Cooper (chart of Nov'2010 for GTS2012).  Cooper's placement relative to Australia ""Conop/spline-fit"" zones is used here.); CAMBRIAN = South China zones by Chen et al (2010 pers. commun. to J.Ogg; during sessions at Nanjing Inst. Geol. Paleont.) as scaled by Peng and Babcock (GTS2012 graphics)"
DATACOL	Graptolite Zones (general)	7	1		400	490	"Graptolites:  This hybrid Ordovician Australian and ""standard"" Silurian suite was used to scale the Ordovician-Silurian (Cooper, Melchin, Sadler).  Devonian zonations (relaive to conodont ""master"" scale) are based on Thomas Becker's detailed chart (2010; delivered to Gradstein and Ogg)"
DATACOL	South China trilobites (Cambrian) and Cambrian markers	9	1		450	650	"Trilobite Zonal scheme from Peng (2003; Geol. Acta, 1:135-144 (www.geologica-acta.com:8080/geoacta/pdf/vol0101a14.pdf); but modified by Peng, 2007 to J.Ogg; and Peng, Jan2011 to G.Ogg); Ages based on Peng and Babcock (Concise GTS 2008; GTS 2012)"
DATACOL	Mammals	3	3		0	250	"Mammals - will create a very wide chart with images!  This is only the mammal subset from the more extensive Vertebrate-evolution datapack of TSCreator; and the internal datasets of TSCreator have other mammal zonations and datums.  Main source = Dixon, Dougal, et al. (1988) The Macmillan illustrated encyclopedia of dinosaurs and prehistoric animals. Macmillan New York: 312pp., with permission given to use images.  This compilation is a bit dated, but the main trends/ages are generally schematically okay."
DATACOL	Dinosaurs	5	3		0	290	"Dinosaurs (only for Web version) - will create a very wide chart with images!  This is only the dinosaur subset from the more extensive Vertebrate-evolution datapack of TSCreator; and the internal datasets of TSCreator have other vertebrate zonations and datums.  Main source = Dixon, Dougal, et al. (1988) The Macmillan illustrated encyclopedia of dinosaurs and prehistoric animals. Macmillan New York: 312pp., with permission given to use images.  This compilation is a bit dated, but the main trends/ages are generally schematically okay."
